Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Shai Gilgeous-Alexander,26,OKC,PG-SG,50,50,34,11.4,21.5,0.528,2,5.7,0.352,9.4,15.9,0.591,0.575,7.9,8.8,0.9,0.9,4.2,5.1,6,1.9,1,2.6,2.2,32.7,
2,Giannis Antetokounmpo,30,MIL,PF-C,41,41,34.9,12.7,20.9,0.608,0.1,0.8,0.188,12.6,20.1,0.624,0.611,6.2,10.7,0.577,2.3,9.9,12.2,5.9,0.8,1.3,3.4,2.4,31.8,
3,Nikola Jokić,29,DEN,C,47,47,36.1,11.3,19.6,0.575,2.1,4.5,0.462,9.2,15.1,0.609,0.628,5,6.1,0.816,3,9.6,12.7,10.3,1.8,0.7,3.1,2.1,29.6,
4,Luka Dončić,25,DAL,PG-SG,22,22,35.7,9.8,21.2,0.464,3.4,9.6,0.354,6.4,11.5,0.555,0.544,5.1,6.6,0.767,0.7,7.6,8.3,7.8,2,0.4,3.4,2.6,28.1,
5,LaMelo Ball,23,CHO,PG-SG,32,32,33.4,9.7,23.3,0.416,4.1,12.2,0.338,5.6,11.1,0.503,0.505,4.5,5.4,0.822,1,4.3,5.2,7.4,1.3,0.3,3.7,3.4,28,
6,Tyrese Maxey,24,PHI,PG-SG,44,44,38,9.7,21.8,0.444,3.3,9.7,0.346,6.3,12.1,0.523,0.521,5.2,5.9,0.874,0.3,3.2,3.4,6.2,1.9,0.4,2.5,2.3,27.8,
7,Anthony Edwards,23,MIN,SG-SF,51,51,36.7,9.1,20.5,0.446,4.2,9.9,0.421,5,10.6,0.47,0.547,4.8,5.7,0.844,0.8,5,5.8,4.5,1.1,0.7,3.5,2,27.2,
8,Kevin Durant,36,PHO,PF-SF,39,39,36.2,9.8,18.6,0.524,2.4,5.9,0.398,7.4,12.7,0.583,0.587,5,6.1,0.827,0.4,5.7,6.1,4.2,0.8,1.3,3,1.7,26.9,
9,Jayson Tatum,26,BOS,PF-SF,50,50,36.3,9,19.9,0.453,3.6,10,0.361,5.4,9.8,0.547,0.544,5.2,6.5,0.8,0.6,8,8.6,5.6,1.2,0.5,2.8,2.2,26.8,
10,Devin Booker,28,PHO,SG-PG,47,47,37.1,8.6,19,0.453,2.7,7.8,0.342,6,11.2,0.53,0.523,6.5,7.2,0.894,1,3.1,4.1,6.6,1.1,0.3,2.7,2.4,26.4,
11,Jalen Brunson,28,NYK,PG,51,51,35.3,9,18.4,0.49,2.3,5.9,0.398,6.7,12.6,0.534,0.554,5.9,7.2,0.819,0.4,2.4,2.8,7.5,0.9,0.1,2.4,2.2,26.3,
12,Anthony Davis,31,LAL,PF-C,43,43,34.2,9.5,18,0.528,0.7,2.2,0.313,8.8,15.8,0.559,0.548,6,7.6,0.786,2.9,9.1,12,3.4,1.3,2.2,2.2,1.9,25.7,
15,Cade Cunningham,23,DET,PG-SG,47,47,35.7,9.6,21.1,0.453,2.3,6.4,0.354,7.3,14.7,0.496,0.507,4.2,4.9,0.845,0.9,5.4,6.3,9.4,1,0.7,4.4,2.7,25.6,
16,Damian Lillard,34,MIL,PG,42,42,36.3,7.7,17.3,0.445,3.4,9,0.377,4.3,8.4,0.519,0.543,6.2,6.8,0.923,0.6,4.1,4.7,7.5,1.2,0.2,2.8,1.8,25,
17,Franz Wagner,23,ORL,SF,34,34,32.9,9,19.5,0.462,2,6.4,0.318,7,13.1,0.531,0.514,5,5.8,0.863,1,4.6,5.6,5.1,1.4,0.4,2.3,2.5,25,
18,Cam Thomas,23,BRK,SG,19,17,32.3,7.9,17.7,0.448,2.8,7.6,0.375,5.1,10.2,0.503,0.528,5.9,6.8,0.876,0.5,3.1,3.6,3.4,0.7,0.1,2.7,1.9,24.7,
19,De'Aaron Fox,27,2TM,PG,48,48,36.8,9.1,19.4,0.468,2,6.3,0.32,7.1,13.2,0.539,0.52,4.4,5.3,0.823,1,3.9,4.9,6.3,1.5,0.4,2.9,2.7,24.6,
20,De'Aaron Fox,27,SAC,PG,45,45,37,9.2,19.6,0.469,2,6.4,0.322,7.2,13.3,0.539,0.521,4.5,5.5,0.829,1,4,5,6.1,1.5,0.4,3,2.6,25,
